artist,count
Dierks Bentley,40349
Sia,40033
KOTOKO,40031
Luther Vandross,39933
Young Jeezy,39842
Steely Dan,39714
All Time Low,39623
Whitesnake,39525
Franz Ferdinand,39505
凛として時雨,39145
Capital Cities,38876
Five Finger Death Punch,38872
George Michael,38869
Supertramp,38719
Soundgarden,38678
Florida Georgia Line,38633
Alan Jackson,38571
Florence + the Machine,38485
SCANDAL,38482
Rammstein,38421
TLC,38383
チャットモンチー,38247
Talking Heads,38241
Colbie Caillat,38195
Zebrahead,38186
Elissa,38118
Bob Marley & The Wailers,37602
IRIS,37529
Rage Against the Machine,37465
Jamiroquai,37428
Switchfoot,37393
サザンオールスターズ,37378
Slayer,37233
Snoop Dogg,37209
Van Morrison,37040
James Blunt,37024
Anthrax,36980
Newsboys,36971
30 Seconds to Mars,36888
くるり,36732
SEKAI NO OWARI,36647
The Beach Boys,36572
Goodbye,36534
Olly Murs,36530
Queens of the Stone Age,36528
Lionel Richie,36436
Two Door Cinema Club,36426
Brian McKnight,36410
Chris Young,36314
Pixies,36242
capsule,36102
Stone Temple Pilots,36083
Miss Li,36069
A Day to Remember,35869
Limp Bizkit,35783
The Cranberries,35688
Placebo,35637
dream,35606
Icona Pop,35484
Moby,35465
Taio Cruz,35217
Sean Paul,35174
Dragon,35004
Goo Goo Dolls,34961
Little Mix,34944
The White Stripes,34908
Janne Da Arc,34899
JAY Z,34818
Bad Company,34744
Styx,34733
Marvin Sapp,34706
Kelly Rowland,34618
スフィア,34573
Shine,34572
坂本真綾,34461
Madness,34450
Vampire Weekend,34414
Leona Lewis,34225
Steve Miller Band,34222
Tears for Fears,34010
Lecrae,33978
Marc Anthony,33836
The Egg,33643
Armin van Buuren,33588
Billy Currington,33561
Garth Brooks,33491
Creed,33423
Hozier,33406
茅原実里,33403
Base Ball Bear,33382
Karmin,33346
Akon,33332
Death Cab for Cutie,33317
Ariana Grande,33273
Peter Gabriel,32924
Rise Against,32916
Black Magic,32908
Cyndi Lauper,32885
マキシマム ザ ホルモン,32841
AWOLNATION,32760
Secondhand Serenade,32726
Eurythmics,32662
Lily Allen,32607
Deftones,32593
Sugar,32577
Roxette,32551
Live,32348
Kid Cudi,32330
Sara Bareilles,32245
Donna Summer,32225
9mm Parabellum Bullet,32176
Norah Jones,32075
浜崎あゆみ,32051
Butterfly,32007
Life,31994
Faith Hill,31873
The Kinks,31871
The 1975,31837
Chris Tomlin,31718
Jake Owen,31685
UB40,31603
Miranda Lambert,31550
miwa,31396
War,31394
